State ,Location,Shell Length,Shell Width,Aperture Length,Weight,Condition,Infection status,Combo,Individual,Trial,Baseline,Water,Refuge
NC,AB,16.44,11.78,5.12,1.13,none,1,2,60,3,19,8,0.1
NC,AB,19.15,13.84,5.6,1.91,none,0,1,61,2,0.01,0.1,0.1
NC,AB,19.15,13.84,5.6,1.91,none,0,1,61,1,0.01,0.1,8
NC,AB,19.15,13.84,5.6,1.91,none,0,1,61,3,4,2,0.1
NC,AB,20.95,15.23,6.22,2.53,none,0,1,62,2,3,9,0.1
NC,AB,20.95,15.23,6.22,2.53,none,0,1,62,1,5,4,0.1
NC,AB,20.95,15.23,6.22,2.53,none,0,1,62,3,8,8,9
NC,AB,17.79,12.7,5.31,1.45,none,1,2,63,1,0.01,0.1,0.1
NC,AB,17.79,12.7,5.31,1.45,none,1,2,63,3,0.01,9,0.1
NC,AB,17.79,12.7,5.31,1.45,none,1,2,63,2,0.01,0.1,9
NC,AB,17.96,12.51,5.94,1.38,none,0,1,64,1,0.01,0.1,0.1
NC,AB,17.96,12.51,5.94,1.38,none,0,1,64,2,8,6,0.1
NC,AB,17.96,12.51,5.94,1.38,none,0,1,64,3,9,4,0.1
NC,AB,19.44,13.83,5.94,1.91,none,0,1,65,1,0.01,0.1,0.1
NC,AB,19.44,13.83,5.94,1.91,none,0,1,65,2,0.01,0.1,6
NC,AB,19.44,13.83,5.94,1.91,none,0,1,65,3,0.01,0.1,9
NC,AB,20.92,14.55,6.11,2.09,none,0,0,66,1,0.01,0.1,9
NC,AB,20.92,14.55,6.11,2.09,none,0,0,66,2,0.01,0.1,9
NC,AB,20.92,14.55,6.11,2.09,none,0,0,66,3,0.01,0.1,9
NC,AB,19.79,13.34,6.07,1.53,none,0,0,67,3,0.01,0.1,0.1
NC,AB,19.79,13.34,6.07,1.53,none,0,0,67,2,0.01,0.1,6
NC,AB,19.79,13.34,6.07,1.53,none,0,0,67,1,0.01,0.1,9
NC,AB,17.45,12.99,5.59,1.33,none,0,0,68,2,0.01,0.1,6
NC,AB,17.45,12.99,5.59,1.33,none,0,0,68,1,0.01,0.1,9
NC,AB,17.45,12.99,5.59,1.33,none,0,0,68,3,9,4,0.1
NC,AB,20.9,15.39,6.07,2.2,none,0,0,69,2,0.01,0.1,0.1
NC,AB,20.9,15.39,6.07,2.2,none,0,0,69,3,0.01,0.1,0.1
NC,AB,20.9,15.39,6.07,2.2,none,0,0,69,1,0.01,0.1,9
NC,AB,18.69,14.07,5.71,1.71,none,0,1,70,1,0.01,0.1,0.1
NC,AB,18.69,14.07,5.71,1.71,none,0,1,70,2,0.01,0.1,9
NC,AB,18.69,14.07,5.71,1.71,none,0,1,70,3,0.01,0.1,9
NC,AB,19.41,13.73,5.6,1.58,none,1,2,71,1,0.01,0.1,0.1
NC,AB,19.41,13.73,5.6,1.58,none,1,2,71,3,0.01,0.1,9
NC,AB,19.41,13.73,5.6,1.58,none,1,2,71,2,3,2,9
NC,AB,17.37,12.66,5.19,1.24,none,0,1,72,1,0.01,0.1,0.1
NC,AB,17.37,12.66,5.19,1.24,none,0,1,72,3,0.01,0.1,9
NC,AB,17.37,12.66,5.19,1.24,none,0,1,72,2,24,9,0.1
NC,AB,19.6,13.61,6.23,1.97,none,0,1,73,1,0.01,0.1,0.1
NC,AB,19.6,13.61,6.23,1.97,none,0,1,73,2,0.01,0.1,0.1
NC,AB,19.6,13.61,6.23,1.97,none,0,1,73,3,18,9,0.1
NC,AB,18.53,13.89,5.72,1.67,none,0,0,74,1,0.01,0.1,0.1
NC,AB,18.53,13.89,5.72,1.67,none,0,0,74,2,0.01,0.1,9
NC,AB,18.53,13.89,5.72,1.67,none,0,0,74,3,14,4,0.1
NC,AB,19.67,14.16,6.56,1.77,none,0,0,75,2,0.01,0.1,0.1
NC,AB,19.67,14.16,6.56,1.77,none,0,0,75,3,0.01,0.1,0.1
NC,AB,19.67,14.16,6.56,1.77,none,0,0,75,1,0.01,0.1,9
NC,AB,21,14.38,5.98,2.16,none,0,0,76,3,0.01,0.1,4
NC,AB,21,14.38,5.98,2.16,none,0,0,76,1,0.01,0.1,9
NC,AB,21,14.38,5.98,2.16,none,0,0,76,2,0.01,0.1,9
NC,AB,19.55,13.87,5.73,1.91,none,0,0,77,1,0.01,0.1,9
NC,AB,19.55,13.87,5.73,1.91,none,0,0,77,2,0.01,0.1,9
NC,AB,19.55,13.87,5.73,1.91,none,0,0,77,3,0.01,0.1,9
